     Day,    Time,      AX,      AY,      AZ,θX(左右),θZ(前後),θY(上下),Rainfall,Humidity,Temperature
23/05/17,上午 12:00,0.008023,-0.994416,-0.074234,   0.461, -85.706,  -4.269,       0,73.799937,24.716491
23/05/17,上午 12:05,0.007318,-0.993913,-0.074095,   0.421, -85.716,  -4.263,       0,73.666413,24.677414
23/05/17,上午 12:10,0.007764,-0.993909,-0.074314,   0.446, -85.701,  -4.276,       0,75.426937,24.713845
23/05/17,上午 12:15,0.007614,-0.994084,-0.074298,   0.438, -85.703,  -4.274,       0,76.362681,24.537133
23/05/17,上午 12:20,0.007881,-0.994065,-0.074086,   0.453, -85.714,  -4.262,       0,76.01428,24.309568
23/05/17,上午 12:25,0.007618,-0.994185,-0.074548,   0.438,  -85.69,  -4.288,       0,77.727238,24.155345
23/05/17,上午 12:30,0.007419,-0.993764,-0.074041,   0.427, -85.718,  -4.261,       0,78.307067,23.981104
23/05/17,上午 12:35, 0.00799,-0.994156,-0.074693,   0.459, -85.679,  -4.297,       0,78.461461,23.82818
23/05/17,上午 12:40,0.007651,-0.99422,-0.074335,    0.44, -85.702,  -4.276,       0,79.706942,23.725842
23/05/17,上午 12:45,0.007475,-0.99434,-0.074274,    0.43, -85.707,  -4.272,       0,80.13626,23.687704
23/05/17,上午 12:50,0.007633,-0.994145,-0.074353,   0.439,   -85.7,  -4.277,       0,80.206435,23.627515
23/05/17,上午 12:55,0.007562,-0.994356,-0.074561,   0.434,  -85.69,  -4.288,       0,79.009421,23.656805
23/05/17,上午 1:00,0.007745,-0.993898,-0.073942,   0.445, -85.722,  -4.255,       0,79.918997,23.790299
23/05/17,上午 1:05,0.007488,-0.993711,-0.074285,   0.431, -85.703,  -4.275,       0,79.202026,23.825533
23/05/17,上午 1:10,0.007707,-0.994252,-0.074245,   0.443, -85.707,   -4.27,       0, 79.0938,23.937091
23/05/17,上午 1:15,0.007177,-0.994246,-0.074415,   0.412,   -85.7,   -4.28,       0,78.787903,23.865096
23/05/17,上午 1:20,0.007389,-0.994347,-0.073929,   0.425, -85.727,  -4.252,       0,79.928284,23.841635
23/05/17,上午 1:25,0.007458,-0.994217,-0.074161,   0.429, -85.713,  -4.266,       0,77.51056,23.972601
23/05/17,上午 1:30,0.007271,-0.994225,-0.074059,   0.418,  -85.72,   -4.26,       0,77.027315,24.066334
23/05/17,上午 1:35,0.007496,-0.994325,-0.074213,   0.431,  -85.71,  -4.268,       0,77.394717,24.186265
23/05/17,上午 1:40,0.008058,-0.993921,-0.074186,   0.463, -85.706,  -4.268,       0,77.458017,24.300139
23/05/17,上午 1:45,0.008076,-0.994161,-0.074534,   0.464, -85.687,  -4.287,       0,77.723693,24.293929
23/05/17,上午 1:50,0.007787,-0.993901,-0.074365,   0.448, -85.698,  -4.279,       0,77.335326,24.169381
23/05/17,上午 1:55,0.007661,-0.99423,-0.07444,    0.44, -85.696,  -4.282,       0,78.887616,24.091774
23/05/17,上午 2:00,0.007844,-0.99409,-0.074398,   0.451, -85.696,   -4.28,       0,79.623687,23.955621
23/05/17,上午 2:05,0.007423,-0.994169,-0.074243,   0.427, -85.708,  -4.271,       0,77.707611,23.831564
23/05/17,上午 2:10,0.007468,-0.993864,-0.074294,   0.429, -85.703,  -4.275,       0,80.133159,23.809123
23/05/17,上午 2:15,0.007589,-0.994489,-0.074471,   0.436, -85.695,  -4.282,       0,79.455832,23.668552
23/05/17,上午 2:20,0.007853,-0.994408,-0.07433,   0.451, -85.702,  -4.275,       0,80.087565,23.598905
23/05/17,上午 2:25,0.008095,-0.994094,-0.074066,   0.465, -85.714,  -4.261,       0,78.917904,23.581214
23/05/17,上午 2:30,0.007453,-0.994014,-0.074347,   0.428, -85.701,  -4.277,       0,78.783435,23.732694
23/05/17,上午 2:35,0.007209,-0.994508,-0.074095,   0.414, -85.719,  -4.261,       0,78.711549,23.89529
23/05/17,上午 2:40,0.007335,-0.994278,-0.073963,   0.422, -85.725,  -4.254,       0,77.705442,23.945516
23/05/17,上午 2:45,0.007478,-0.993696,-0.074574,    0.43, -85.687,  -4.292,       0,80.49795,23.964992
23/05/17,上午 2:50,0.007722,-0.994002,-0.074498,   0.444, -85.691,  -4.286,       0,79.408297,23.918007
23/05/17,上午 2:55,0.007759,-0.993908,-0.074551,   0.446, -85.687,  -4.289,       0,78.920627,23.84548
23/05/17,上午 3:00,0.007468,-0.993927,-0.074168,   0.429, -85.711,  -4.267,       0,80.635982,23.77188
23/05/17,上午 3:05,0.007641,-0.993957,-0.074059,   0.439, -85.716,  -4.261,       0,80.810246,23.669932
23/05/17,上午 3:10,0.007914,-0.993983,-0.07445,   0.455, -85.692,  -4.283,       0,80.203452,23.620715
23/05/17,上午 3:15,0.007423,-0.993863,-0.074128,   0.427, -85.713,  -4.265,       0,80.874289,23.525752
23/05/17,上午 3:20,0.007576,-0.993786,-0.074378,   0.436, -85.698,   -4.28,       0,82.829769,23.403412
23/05/17,上午 3:25,0.007639,-0.994332,-0.07435,   0.439, -85.701,  -4.276,       0,82.678647,23.273427
23/05/17,上午 3:30,0.007563,-0.993866,-0.07394,   0.435, -85.723,  -4.255,       0,83.897242,23.103249
23/05/17,上午 3:35,0.007599,-0.993679,-0.074179,   0.437, -85.708,  -4.269,       0,84.435896,22.938087
23/05/17,上午 3:40,0.007741,-0.994068,-0.074344,   0.445,   -85.7,  -4.277,       0,84.937801,22.847191
23/05/17,上午 3:45, 0.00791,-0.994105,-0.074571,   0.455, -85.686,   -4.29,       0,85.692675,22.805634
23/05/17,上午 3:50,0.007299,-0.994079,-0.074472,   0.419, -85.695,  -4.284,       0,84.951857,22.717229
23/05/17,上午 3:55,0.007813,-0.99407,-0.07437,   0.449, -85.698,  -4.278,       0,86.456335,22.649318
23/05/17,上午 4:00,0.007323,-0.994079,-0.073921,   0.421, -85.727,  -4.253,       0,85.775049,22.569341
23/05/17,上午 4:05, 0.00718,-0.994448,-0.074253,   0.413,  -85.71,   -4.27,       0,86.762794,22.556978
23/05/17,上午 4:10,0.008141,-0.994332,-0.074661,   0.468, -85.681,  -4.294,       0,87.530287,22.495482
23/05/17,上午 4:15,0.007431,-0.993894,-0.074213,   0.427, -85.708,   -4.27,       0,86.307887,22.404289
23/05/17,上午 4:20,0.007902,-0.994173,-0.074312,   0.454, -85.701,  -4.275,       0,86.786222,22.337762
23/05/17,上午 4:25,0.007529,-0.993889,-0.074573,   0.433, -85.687,  -4.291,       0,87.77477,22.266369
23/05/17,上午 4:30,0.007573,-0.993958,-0.074253,   0.435, -85.706,  -4.272,       0,87.955414,22.195267
23/05/17,上午 4:35,0.008163,-0.994067,-0.07385,   0.469, -85.725,  -4.249,       0,88.385651,22.138718
23/05/17,上午 4:40,0.007746,-0.994101,-0.074287,   0.445, -85.703,  -4.274,       0,89.392042,22.068796
23/05/17,上午 4:45,0.007031,-0.993731,-0.074275,   0.404, -85.706,  -4.274,       0,87.460823,22.018452
23/05/17,上午 4:50,0.007402,-0.994441,-0.074078,   0.425, -85.719,   -4.26,       0,88.111916,21.994599
23/05/17,上午 4:55,0.007377,-0.993928,-0.074026,   0.424,  -85.72,  -4.259,       0,89.373029,21.949235
23/05/17,上午 5:00,0.008131,-0.993767,-0.074622,   0.467,  -85.68,  -4.294,       0,89.640069,21.91222
23/05/17,上午 5:05,0.007719,-0.99428,-0.074478,   0.444, -85.693,  -4.284,       0,90.020506,21.885265
23/05/17,上午 5:10, 0.00791,-0.993989,-0.074444,   0.455, -85.693,  -4.283,       0,89.601136,21.839445
23/05/17,上午 5:15,0.007331,-0.994065,-0.074438,   0.421, -85.697,  -4.282,       0,90.10974,21.805027
23/05/17,上午 5:20,0.007565,-0.993824,-0.073994,   0.435,  -85.72,  -4.258,       0,88.952031,21.773442
23/05/17,上午 5:25,0.007475,-0.994301,-0.074426,    0.43, -85.698,  -4.281,       0,89.245723,21.788603
